strain,stress
0.2416,90.096
0.24182,89.572
0.24204,89.493
0.24221,89.585
0.24242,89.564
0.24262,89.763
0.24281,89.917
0.24304,89.998
0.24322,89.75
0.24343,90.186
0.24365,89.528
0.24381,89.418
0.24403,89.564
0.24423,89.098
0.24442,89.363
0.2446,89.35
0.24484,89.246
0.24503,89.159
0.24521,89.38
0.24544,89.83
0.24563,89.3
0.24584,88.696
0.24604,88.122
0.24621,88.779
0.24642,89.64
0.24664,89.421
0.24682,89.287
0.24702,89.037
0.24724,89.075
0.24743,88.552
0.24763,88.269
0.24783,88.844
0.248,89.283
0.24823,89.434
0.24845,89.032
0.24864,88.229
0.24883,87.97
0.24902,88.655
0.24923,88.969
0.24943,88.332
0.24964,88.655
0.24984,88.45
0.25003,88.073
0.25024,88.581
0.25043,88.432
0.25066,87.703
0.25079,87.687
0.25101,88.84
0.25124,88.872
0.25143,88.395
0.25161,88.222
0.25184,87.741
0.25203,87.406
0.2522,87.925
0.25244,88.108
0.25262,87.608
0.25282,87.117
0.25304,87.633
0.25318,88.113
0.25344,88.954
0.25365,88.088
0.25382,87.28
0.254,87.087
0.25422,87.585
0.2544,88.012
0.25461,87.667
0.25482,87.848
0.25503,87.358
0.25523,86.515
0.25541,86.853
0.25559,87.782
0.25582,88.065
0.25602,87.861
0.25621,87.498
0.25642,87.403
0.25661,87.391
0.25681,87.418
0.25702,86.991
0.25722,87.044
0.2574,86.924
0.25762,86.353
0.25781,86.703
0.258,87.059
0.25823,87.101
0.25841,86.764
0.2586,86.626
0.25885,86.84
0.25901,86.62
0.25923,86.419
0.25942,86.847
0.25962,86.836
0.25983,86.922
0.26005,86.306
0.26022,86.129
0.26042,86.687
0.26064,87.389
0.26081,87.056
0.26104,86.864
0.26123,86.503
0.26141,86.298
0.26163,86.477
0.26184,85.873
0.26202,86.096
0.26221,86.207
0.26243,86.59
0.2626,86.3
0.26281,86.215
0.26304,86.211
0.26319,85.658
0.26341,85.965
0.26361,85.763
0.26378,85.678
0.26399,86.384
0.26418,86.119
0.26441,86.228
0.26462,85.502
0.2648,85.263
0.26499,85.553
0.26519,85.826
0.26544,86.091
0.26562,85.232
0.26582,85.51
0.26601,85.876
0.26622,85.991
0.26644,85.545
0.26659,85.362
0.2668,85.784
0.26701,85.6
0.26719,85.206
0.26738,85.584
0.26759,85.439
0.26778,85.511
0.26799,85.553
0.26818,85.294
0.2684,85.201
0.2686,84.55
0.26882,84.69
0.26899,84.984
0.26921,85.335
0.26942,85.434
0.26961,85.245
0.26981,84.738
0.26999,84.826
0.27018,85.229
0.27039,85.273
0.27058,84.897
0.27078,85.379
0.271,85.091
0.27122,84.595
0.27139,84.364
0.27162,84.903
0.27182,84.731
0.27199,84.782
0.27224,84.892
0.27241,84.213
0.27259,84.182
0.2728,84.253
0.27301,84.55
0.27318,84.179
0.27338,84.134
0.27359,84.762
0.27381,85.107
0.27403,84.877
0.27424,84.712
0.27442,83.774
0.27463,84.068
0.27481,83.663
0.27502,83.937
0.27522,84.044
0.27539,84.039
0.27561,83.987
0.2758,83.788
0.27598,84.308
0.2762,83.722
0.27641,83.27
0.27657,83.65
0.2768,84.452
0.277,84.645
0.27721,84.564
0.27743,83.894
0.27762,83.749
0.27782,84.33
0.27804,84.117
0.2782,83.517
0.2784,83.637
0.2786,83.393
0.27879,83.89
0.27898,83.7
0.27921,83.569
0.27939,83.421
0.27958,83.665
0.27982,83.614
0.28001,83.226
0.28021,83.055
0.28044,82.512
0.28058,82.676
0.28078,83.601
0.281,83.661
0.28119,83.261
